date,price
20090702,5067
20090703,5155
20090706,5008
20090707,4846
20090708,4802
20090709,5008
20090710,5008
20090713,4919
20090714,5096
20090715,5008
20090716,5008
20090717,5067
20090721,5332
20090722,5376
20090723,5671
20090724,5700
20090727,5671
20090728,5730
20090729,5833
20090730,5921
20090731,5730
20090803,5612
20090804,5391
20090805,5244
20090806,5126
20090807,4802
20090810,4713
20090811,4625
20090812,4757
20090813,4640
20090814,4757
20090817,4743
20090818,4831
20090819,4610
20090820,4802
20090821,4610
20090824,4875
20090825,5023
20090826,4831
20090827,4757
20090828,4713
20090831,4743
20090901,4861
20090902,4875
20090903,4831
20090904,4919
20090907,5170
20090908,5155
20090909,5553
20090910,5568
20090911,5523
20090914,5464
20090915,5288
20090916,5126
20090917,4934
20090918,4978
20090924,5008
20090925,5052
20090928,5170
20090929,5185
20090930,5126
20091001,4949
20091002,4949
20091005,5037
20091006,5273
20091007,6039
20091008,6112
20091009,5921
20091013,6009
20091014,5980
20091015,6083
20091016,6068
20091019,6171
20091020,5980
20091021,5818
20091022,5995
20091023,6186
20091026,6112
20091027,6201
20091028,6245
20091029,6201
20091030,5995
20091102,6039
20091104,5877
20091105,5906
20091106,5759
20091109,5612
20091110,5715
20091111,6142
20091112,6245
20091113,6171
20091116,6289
20091117,6289
